sales_id,invoice_number,date,employee,payment_type,product_code,category,product,platform,qty,unit_price,total,Precio de Costo,Total COGS,Ganancia Neta,product_id
19532,13515,2023-08-23,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
19568,13541,2023-08-24,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
19571,13543,2023-08-24,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
19819,13713,2023-08-28,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
20373,14103,2023-09-07,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
20823,14440,2023-09-15,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
21111,14646,2023-09-20,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
24212,16875,2023-11-22,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
24263,16908,2023-11-23,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
24703,17211,2023-11-30,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
24716,17222,2023-11-30,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
25121,17506,2023-12-07,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1700,1700,0.0,0.0,1700.0,394.0
16405,11359,2023-06-30,Marisa y Kuky,Efectivo,426836113403,Farmacia,Buscapina Dúo,,2,120,240,0.0,0.0,240.0,372.0
16629,11525,2023-07-03,Marisa y Kuky,Efectivo,426836113403,Farmacia,Buscapina Dúo,,1,120,120,0.0,0.0,120.0,372.0
16952,11752,2023-07-08,Marisa y Kuky,Efectivo,426836113403,Farmacia,Buscapina Dúo,,2,120,240,0.0,0.0,240.0,372.0
20039,13861,2023-09-01,Marisa y Kuky,Efectivo,426836113403,Farmacia,Buscapina Dúo,,2,150,300,0.0,0.0,300.0,372.0
14049,9683,2023-05-22,Fausto,Efectivo,,,Caramelos 2,Log In,1,10,10,0.0,0.0,10.0,
15300,10583,2023-06-11,Fausto,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,4,15,60,0.0,0.0,60.0,655.0
15390,10648,2023-06-12,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,4,15,60,0.0,0.0,60.0,655.0
17377,12041,2023-07-16,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,13,15,195,0.0,0.0,195.0,655.0
17606,12185,2023-07-20,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,1,15,15,0.0,0.0,15.0,655.0
17873,12373,2023-07-25,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,13,15,195,0.0,0.0,195.0,655.0
17886,12383,2023-07-25,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,5,15,75,0.0,0.0,75.0,655.0
17895,12392,2023-07-25,Fausto,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,2,15,30,0.0,0.0,30.0,655.0
18353,12710,2023-08-03,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,6,15,90,0.0,0.0,90.0,655.0
18834,13042,2023-08-11,Fausto,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,4,15,60,0.0,0.0,60.0,655.0
19003,13157,2023-08-14,Fausto,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,2,20,40,0.0,0.0,40.0,655.0
19210,13291,2023-08-18,Fausto,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,2,20,40,0.0,0.0,40.0,655.0
20436,14152,2023-09-09,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,1,20,20,0.0,0.0,20.0,655.0
20450,14163,2023-09-09,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,3,20,60,0.0,0.0,60.0,655.0
21084,14625,2023-09-20,Marisa y Kuky,Efectivo,7792354004560,Golosina,Caramelos Eucaliptus ,,1,20,20,0.0,0.0,20.0,655.0
16034,11096,2023-06-23,Marisa y Kuky,Efectivo,987456321397,Tramites,Colision,,1,1500,1500,0.0,0.0,1500.0,394.0
19129,13234,2023-08-16,Fausto,Efectivo,987456321397,Tramites,Colision,,1,1500,1500,0.0,0.0,1500.0,394.0
19905,13774,2023-08-30,Fausto,Efectivo,987456321397,Tramites,Colision,,1,1500,1500,0.0,0.0,1500.0,394.0
22600,15707,2023-10-18,Marisa y Kuky,Efectivo,987456321397,Tramites,Colision,,1,1500,1500,0.0,0.0,1500.0,394.0
24651,17173,2023-11-28,Fausto,Efectivo,987456321397,Tramites,Colision,,1,3300,3300,0.0,0.0,3300.0,394.0
14549,10063,2023-05-31,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1200,1200,0.0,0.0,1200.0,394.0
14983,10363,2023-06-06,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1800,1800,0.0,0.0,1800.0,394.0
15156,10482,2023-06-09,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1800,1800,0.0,0.0,1800.0,394.0
15158,10483,2023-06-09,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1800,1800,0.0,0.0,1800.0,394.0
15383,10644,2023-06-12,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,Log In,1,1800,1800,0.0,0.0,1800.0,394.0
15467,10698,2023-06-14,Fausto,Efectivo,987456321397,Tramites,Conducta,,2,1800,3600,0.0,0.0,3600.0,394.0
15751,10884,2023-06-18,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1800,1800,0.0,0.0,1800.0,394.0
17419,12073,2023-07-17,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1800,1800,0.0,0.0,1800.0,394.0
17855,12360,2023-07-24,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1800,1800,0.0,0.0,1800.0,394.0
19432,13443,2023-08-22,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
19441,13446,2023-08-22,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1500,0.0,0.0,1500.0,394.0
19665,13611,2023-08-26,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
14281,9855,2023-05-25,Marisa y Kuky,Efectivo,7790895641749,Jugo,Cepita Ananá 1500ml,,1,500,500,0.0,0.0,500.0,741.0
19881,13757,2023-08-29,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
18449,12783,2023-08-05,Marisa y Kuky,Kuky y Marisa,7790895641749,Jugo,Cepita Ananá 1500ml,,1,550,0,0.0,0.0,0.0,741.0
19882,13757,2023-08-29,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
19885,13760,2023-08-29,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
19950,13805,2023-08-31,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
20028,13852,2023-09-01,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
20287,14038,2023-09-06,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
18584,12874,2023-08-06,Marisa y Kuky,Efectivo,7790895641749,Jugo,Cepita Ananá 1500ml,,1,550,550,0.0,0.0,550.0,741.0
20383,14108,2023-09-07,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
20389,14114,2023-09-07,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
20413,14134,2023-09-08,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
20584,14267,2023-09-11,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
23880,16646,2023-11-14,Marisa y Kuky,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
24030,16736,2023-11-17,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
24040,16743,2023-11-17,Fausto,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
24076,16771,2023-11-18,Adriana,Efectivo,987456321397,Tramites,Conducta,,1,1600,1600,0.0,0.0,1600.0,394.0
27761,19430,2024-01-18,Marisa y Kuky,Efectivo,351624957684,Fotocopia,SIMPLE FAZ A4 1,,1,100,100,0.0,0.0,100.0,498.0
27755,19424,2024-01-18,Marisa y Kuky,Efectivo,351624957684,Fotocopia,SIMPLE FAZ A4 1,,1,200,200,0.0,0.0,200.0,498.0
21017,14575,2023-09-18,Marisa y Kuky,Efectivo,,,CORREO PAMI,,1,500,500,0.0,0.0,500.0,
14143,9750,2023-05-24,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
14431,9976,2023-05-29,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
14501,10026,2023-05-30,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
14510,10030,2023-05-30,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
14538,10052,2023-05-31,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
14881,10294,2023-06-05,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
14914,10313,2023-06-05,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
16791,11642,2023-07-06,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,100,100,0.0,0.0,100.0,394.0
17535,12148,2023-07-19,Fausto,Efectivo,987456321397,Tramites,Cuil,,4,150,600,0.0,0.0,600.0,394.0
17823,12340,2023-07-23,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
18613,12896,2023-08-07,Marisa y Kuky,Debito,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
18822,13032,2023-08-11,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
19016,13162,2023-08-14,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,150,150,0.0,0.0,150.0,394.0
