sales_id,invoice_number,date,employee,payment_type,platform,qty,total,product_id
19441,13446,2023-08-22,Fausto,Efectivo, ,1,1500.0,394
19665,13611,2023-08-26,Fausto,Efectivo, ,1,1600.0,394
14281,9855,2023-05-25,Marisa y Kuky,Efectivo, ,1,500.0,741
19881,13757,2023-08-29,Marisa y Kuky,Efectivo, ,1,1600.0,394
18449,12783,2023-08-05,Marisa y Kuky,Kuky y Marisa, ,1,0.0,741
19882,13757,2023-08-29,Marisa y Kuky,Efectivo, ,1,1600.0,394
19885,13760,2023-08-29,Marisa y Kuky,Efectivo, ,1,1600.0,394
19950,13805,2023-08-31,Fausto,Efectivo, ,1,1600.0,394
20028,13852,2023-09-01,Fausto,Efectivo, ,1,1600.0,394
20287,14038,2023-09-06,Fausto,Efectivo, ,1,1600.0,394
18584,12874,2023-08-06,Marisa y Kuky,Efectivo, ,1,550.0,741
20383,14108,2023-09-07,Marisa y Kuky,Efectivo, ,1,1600.0,394
20389,14114,2023-09-07,Marisa y Kuky,Efectivo, ,1,1600.0,394
20413,14134,2023-09-08,Fausto,Efectivo, ,1,1600.0,394
20584,14267,2023-09-11,Fausto,Efectivo, ,1,1600.0,394
23880,16646,2023-11-14,Marisa y Kuky,Efectivo, ,1,1600.0,394
24030,16736,2023-11-17,Fausto,Efectivo, ,1,1600.0,394
24040,16743,2023-11-17,Fausto,Efectivo, ,1,1600.0,394
24076,16771,2023-11-18,Adriana,Efectivo, ,1,1600.0,394
27761,19430,2024-01-18,Marisa y Kuky,Efectivo, ,1,100.0,498
27755,19424,2024-01-18,Marisa y Kuky,Efectivo, ,1,200.0,498
14143,9750,2023-05-24,Fausto,Efectivo, ,1,100.0,394
14431,9976,2023-05-29,Fausto,Efectivo, ,1,100.0,394
14501,10026,2023-05-30,Marisa y Kuky,Efectivo, ,1,100.0,394
14510,10030,2023-05-30,Marisa y Kuky,Efectivo, ,1,100.0,394
14538,10052,2023-05-31,Fausto,Efectivo, ,1,100.0,394
14881,10294,2023-06-05,Fausto,Efectivo, ,1,100.0,394
14914,10313,2023-06-05,Fausto,Efectivo, ,1,100.0,394
16791,11642,2023-07-06,Fausto,Efectivo, ,1,100.0,394
17535,12148,2023-07-19,Fausto,Efectivo, ,4,600.0,394
17823,12340,2023-07-23,Marisa y Kuky,Efectivo, ,2,400.0,394
18613,12896,2023-08-07,Marisa y Kuky,Debito, ,1,200.0,394
18822,13032,2023-08-11,Marisa y Kuky,Efectivo, ,1,200.0,394
19016,13162,2023-08-14,Fausto,Efectivo, ,1,150.0,394
19105,13221,2023-08-16,Fausto,Efectivo, ,3,450.0,394
19535,13518,2023-08-24,Marisa y Kuky,Efectivo, ,1,200.0,394
19686,13625,2023-08-26,Marisa y Kuky,Efectivo, ,1,200.0,394
19795,13695,2023-08-28,Marisa y Kuky,Efectivo, ,1,200.0,394
20022,13850,2023-09-01,Fausto,Efectivo, ,2,400.0,394
20176,13960,2023-09-04,Marisa y Kuky,Efectivo, ,1,200.0,394
20257,14018,2023-09-05,Marisa y Kuky,Efectivo, ,2,400.0,394
20690,14339,2023-09-13,Marisa y Kuky,Efectivo, ,1,200.0,394
21078,14622,2023-09-20,Marisa y Kuky,Efectivo, ,1,200.0,394
21081,14623,2023-09-20,Marisa y Kuky,Efectivo, ,1,200.0,394
21164,14680,2023-09-21,Marisa y Kuky,Efectivo, ,1,200.0,394
21404,14861,2023-09-25,Marisa y Kuky,Efectivo, ,1,200.0,394
22023,15289,2023-10-07,Fausto,Efectivo, ,2,400.0,394
22159,15386,2023-10-10,Marisa y Kuky,Efectivo, ,1,200.0,394
22163,15387,2023-10-10,Marisa y Kuky,Efectivo, ,1,200.0,394
22553,15676,2023-10-17,Marisa y Kuky,Efectivo, ,1,200.0,394
22560,15679,2023-10-17,Marisa y Kuky,Efectivo, ,3,600.0,394
22563,15680,2023-10-17,Marisa y Kuky,Efectivo, ,2,400.0,394
22573,15687,2023-10-17,Marisa y Kuky,Efectivo, ,2,400.0,394
22932,15952,2023-10-25,Marisa y Kuky,Mercado Pago, ,1,200.0,394
23203,16146,2023-10-31,Marisa y Kuky,Efectivo, ,1,200.0,394
23531,16386,2023-11-07,Marisa y Kuky,Efectivo, ,1,200.0,394
23591,16425,2023-11-08,Fausto,Efectivo, ,1,200.0,394
23884,16648,2023-11-14,Marisa y Kuky,Efectivo, ,1,200.0,394
23886,16649,2023-11-14,Marisa y Kuky,Efectivo, ,1,200.0,394
24032,16736,2023-11-17,Fausto,Efectivo, ,1,200.0,394
24182,16850,2023-11-21,Marisa y Kuky,Efectivo, ,1,200.0,394
24217,16877,2023-11-22,Marisa y Kuky,Efectivo, ,1,200.0,394
24398,17010,2023-11-25,Fausto,Efectivo, ,4,800.0,394
24644,17168,2023-11-28,Fausto,Efectivo, ,1,200.0,394
25036,17455,2023-12-06,Marisa y Kuky,Efectivo, ,2,400.0,394
25310,17654,2023-12-11,Marisa y Kuky,Efectivo, ,1,200.0,394
25334,17668,2023-12-11,Marisa y Kuky,Efectivo, ,2,400.0,394
25446,17746,2023-12-13,Marisa y Kuky,Efectivo, ,1,200.0,394
25491,17774,2023-12-14,Marisa y Kuky,Efectivo, ,3,600.0,394
25565,17827,2023-12-15,Fausto,Efectivo, ,1,200.0,394
25966,18118,2023-12-20,Fausto,Efectivo, ,1,200.0,394
26074,18196,2023-12-22,Marisa y Kuky,Efectivo, ,1,300.0,394
27644,19344,2024-01-16,Marisa y Kuky,Efectivo, ,1,300.0,394
20834,14448,2023-09-15,Marisa y Kuky,Efectivo, ,1,1000.0,394
14112,9726,2023-05-23,Fausto,Efectivo, ,1,600.0,394
14432,9977,2023-05-29,Fausto,Efectivo, ,1,600.0,394
14477,10012,2023-05-30,Marisa y Kuky,Efectivo, ,1,600.0,394
14481,10014,2023-05-30,Fausto,Efectivo, ,2,1200.0,394
14539,10053,2023-05-31,Fausto,Efectivo, ,1,600.0,394
14548,10062,2023-05-31,Fausto,Efectivo, ,1,600.0,394
14683,10152,2023-06-02,Fausto,Efectivo, ,1,1000.0,394
14864,10280,2023-06-05,Fausto,Efectivo, ,1,1000.0,394
14982,10363,2023-06-06,Fausto,Efectivo, ,1,1000.0,394
15155,10482,2023-06-09,Fausto,Efectivo, ,1,1000.0,394
15159,10483,2023-06-09,Fausto,Efectivo, ,1,1000.0,394
15362,10629,2023-06-12,Fausto,Efectivo, ,1,1000.0,394
15412,10663,2023-06-13,Fausto,Efectivo, ,2,2000.0,394
15466,10698,2023-06-14,Fausto,Efectivo, ,2,2000.0,394
15477,10705,2023-06-14,Fausto,Efectivo, ,2,2000.0,394
15607,10786,2023-06-16,Fausto,Efectivo, ,1,1000.0,394
